NO,ATNRG_NM,SAFETY_ADDR,CCTV_USE,LA,LO,CCTV_QTY,UPDATE_DT,PLCST_NM,PLCST_DEPT_NM,PLCST_DEPT_CD,CTPR_PLAGC_NM
48827,동대문구,외대역동로14길52 (메인) (141032),방범,37.59457141,127.0677821,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48828,동대문구,외대역동로14길52 (보조1),방범,37.59457141,127.0677821,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48829,동대문구,외대역동로14길52 (보조2),방범,37.59457141,127.0677821,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48840,동대문구,휘경로 43 메인,불법주정차,37.594604,127.064653,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48841,동대문구,휘경로 43 보조1,불법주정차,37.594604,127.064653,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48842,동대문구,회기로25가길 30 메인 (141022),방범,37.5946171,127.056825,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48843,동대문구,회기로25가길 30 보조1,방범,37.5946171,127.056825,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48844,동대문구,회기로25가길 30 보조2,방범,37.5946171,127.056825,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48852,동대문구,휘경로2가길 12-13 메인 (141018),방범,37.5946485,127.061451,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48853,동대문구,휘경로2가길 12-13 보조1,방범,37.5946485,127.061451,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48854,동대문구,휘경로2가길 12-13 보조2,방범,37.5946485,127.061451,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48866,동대문구,이문로 17길 11 (이문동 334-86) 전주 옆 메인 (141009),방범,37.59470201,127.0582809,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48867,동대문구,이문로 17길 11 (이문동 334-86) 전주 옆 보조1,방범,37.59470201,127.0582809,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48868,동대문구,이문로 17길 11 (이문동 334-86) 전주 옆 보조2,방범,37.59470201,127.0582809,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48872,동대문구,휘경로2가길 16-12 메인 (141046),방범,37.59471406,127.0616908,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48873,동대문구,휘경로2가길 16-12 보조1,방범,37.59471406,127.0616908,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
48874,동대문구,휘경로2가길 16-12 보조2,방범,37.59471406,127.0616908,1,2022-01-17,서울동대문경찰서,서울동대문,G30000001332833,서울청
