노드 ID,정류소번호,정류소명,X좌표,Y좌표,정류소 타입,geometry
105000039,6123,회기시장,127.056588,37.590807,일반차로,POINT (127.056588 37.590807)
105000040,6124,경희중고,127.057747,37.592923,일반차로,POINT (127.057747 37.592923)
105000041,6125,경희중고,127.0583346646,37.5933472946,일반차로,POINT (127.0583346646 37.5933472946)
105000042,6126,외대앞,127.0596059335,37.5956282146,일반차로,POINT (127.0596059335 37.5956282146)
105000043,6127,외대앞,127.0597677578,37.5954812555,일반차로,POINT (127.0597677578 37.5954812555)
105000044,6128,이문동우체국,127.0617459937,37.5993882544,일반차로,POINT (127.0617459937 37.5993882544)
105000045,6129,이문동교회,127.062108,37.600254,일반차로,POINT (127.062108 37.600254)
105000046,6130,의릉입구,127.0619229882,37.6038755751,일반차로,POINT (127.0619229882 37.6038755751)
105000047,6131,의릉입구,127.0621763625,37.6034852714,일반차로,POINT (127.0621763625 37.6034852714)
105000048,6132,한천로쌍용아파트앞,127.0676192785,37.5981910949,일반차로,POINT (127.0676192785 37.5981910949)
105000049,6133,한천로쌍용아파트앞,127.0678869789,37.5986649133,일반차로,POINT (127.0678869789 37.5986649133)
